,year_month,sentiment,close,monthdf_monthlylychange,weeklychange_sent_raw
0,2017-09,0.2308517841077696,4360.62,,
1,2017-10,0.1790584402960755,6451.24,0.4794318239149479,-0.05179334381169409
2,2017-11,0.12835475207768704,9946.76,0.5418369181738706,-0.05070368821838847
3,2017-12,0.20333623386524857,13850.4,0.39245342201882816,0.07498148178756153
4,2018-01,0.16351771942808874,10226.86,-0.2616198810142667,-0.039818514437159835
5,2018-02,0.12823015096115453,10334.44,0.010519357847863365,-0.035287568466934205
6,2018-03,0.07505736047475821,6943.77,-0.3280942170064367,-0.053172790486396324
7,2018-04,0.16532042467051167,9248.45,0.33190615472574697,0.09026306419575346
8,2018-05,0.17216052102459364,7502.15,-0.18882082943628403,0.006840096354081976
9,2018-06,0.14544110342962363,6385.38,-0.14885999346853895,-0.026719417594970013
10,2018-07,0.2112839401951675,7735.3,0.2114079350015191,0.06584283676554387
11,2018-08,0.18425294098514913,7026.96,-0.09157240184608226,-0.027030999210018364
12,2018-09,0.092096642889807,6623.71,-0.057386124298416386,-0.09215629809534213
13,2018-10,0.10546074566579076,6342.61,-0.04243845216653512,0.013364102775983766
14,2018-11,0.14051544819369252,4009.67,-0.36782018758839025,0.03505470252790176
15,2018-12,0.1679758710628283,3747.39,-0.06541186681198208,0.027460422869135775
16,2019-01,0.18029165590028112,3434.13,-0.08359418155035898,0.012315784837452826
17,2019-02,0.15496764761641138,3823.37,0.11334457344363777,-0.025324008283869742
18,2019-03,0.21170636967252474,4112.69,0.0756714626102103,0.056738722056113355
19,2019-04,0.1811407827370489,5350.64,0.3010073698722736,-0.03056558693547584
20,2019-05,0.13747891704232545,8550.67,0.5980649043852697,-0.04366186569472344
21,2019-06,0.18984632716482133,10769.05,0.25943931879022336,0.05236741012249588
22,2019-07,0.12781458615232816,10089.25,-0.06312534531829635,-0.062031741012493175
23,2019-08,0.08685649146656699,10308.51,0.021732041529350567,-0.04095809468576117
